id,destination,name,category,is_outdoor,no_kids_zone,tags
p011,경주,료미,meal,FALSE,FALSE,"퓨전일식,황리단길,웨이팅"
p012,경주,함양집 보문점,meal,FALSE,FALSE,"한우물회,가족식사,보문단지"
p013,경주,고향밀면 본점,meal,FALSE,FALSE,"밀면,로컬맛집,경주시내"
p014,경주,노워즈,cafe,FALSE,TRUE,"엑설런트라떼,황리단길,힙한분위기"
p015,경주,아덴 보문점,cafe,FALSE,FALSE,"보문호수뷰,대형카페,베이커리"
p016,경주,카페 연화,cafe,FALSE,FALSE,"한옥카페,골목안한적함,수제디저트"
p017,경주,국립경주박물관,activity,FALSE,FALSE,"신라역사,무료입장,실내전시"
p018,경주,교촌마을,activity,TRUE,FALSE,"한복체험,전통마을,도보산책"
p019,경주,경주월드,activity,TRUE,FALSE,"놀이공원,어트랙션,액티비티"
p020,경주,불국사,view,TRUE,FALSE,"유네스코,역사명소,사찰"
p021,경주,동궁과 월지,view,TRUE,FALSE,"야경명소,연못,신라유적"
p022,경주,송대말등대,view,TRUE,FALSE,"오션뷰,한적한명소,사진명소"
p023,경주,동궁원 (버드파크),kids,FALSE,FALSE,"실내동식물원,동물교감,유모차친화적"
p024,경주,우양미술관,kids,FALSE,FALSE,"현대미술,수유실완비,부모휴식"
p025,경주,경주엑스포대공원,kids,TRUE,FALSE,"넓은평지,안전한산책로,경주타워"
p026,하남,투썸플레이스 하남아이테코점,cafe,FALSE,FALSE,"카페,디저트,프랜차이즈"
p027,과천,경복공인중개사사무소,activity,FALSE,FALSE,"중개업,부동산,사무실"
p028,안양,평촌아크로타워오피스텔,view,FALSE,FALSE,"오피스텔,주거,건물"
p029,과천,래미안과천센트럴스위트708동,view,FALSE,FALSE,"아파트,주거,단지"
p030,과천,과천포레드림아파트1006동,view,FALSE,FALSE,"아파트,주거,단지"
p031,과천,선은채주택,view,FALSE,FALSE,"주택,주거,건물"
p032,인천,인천힘찬종합병원,activity,FALSE,FALSE,"종합병원,의료,건강"
p033,서울,존폴쥬얼리 종로예물점,activity,FALSE,FALSE,"결혼예물,귀금속,쇼핑"
p034,서울,나누리병원 강남 본관,activity,FALSE,FALSE,"정형외과,의료,병원"
p035,과천,무키무키 과천점,kids,FALSE,FALSE,"키즈카페,실내놀이터,아동친화"
p036,김포,샤오마라 김포구래점,meal,FALSE,FALSE,"마라탕,중식,식당"
p037,과천,과천리오포레데시앙근린생활시설,activity,FALSE,FALSE,"상가,근린시설,아케이드"
p038,송도,호반써밋송도아파트,view,FALSE,FALSE,"아파트,주거,단지"
p039,과천,과천농협 중앙지점,activity,FALSE,FALSE,"신용조합,금융,은행"
p040,송도,신한은행 송도국제도시,activity,FALSE,FALSE,"은행,금융,영업점"
p041,인천,스팀타임,activity,FALSE,FALSE,"스팀세차,자동차,세차장"
p042,의왕,덕장한우정육식당,meal,FALSE,FALSE,"소고기구이,육류,정육식당"
p043,과천,우지커피 과천중앙점,cafe,FALSE,FALSE,"카페,디저트,커피"
p044,인덕원,힐스테이트인덕원아파트,view,FALSE,FALSE,"아파트,주거,단지"
p045,송도,송밀당 달빛축제공원역점,cafe,FALSE,FALSE,"카페,송밀당,디저트"
p046,과천,맛찬들왕소금구이 과천점,meal,FALSE,FALSE,"육류,고기요리,돼지고기"
p047,송도,송도자이풍경채그라노블1단지(2027년06월예정),view,FALSE,FALSE,"아파트,예정,공사중"
p048,송도,송도힐스테이트주상복합6단지,view,FALSE,FALSE,"주상복합,주거,단지"
p049,의왕,의왕하늘쉼터묘지,view,TRUE,FALSE,"묘지,야외,시설"
p050,송도,송도더샵엑스포9단지아파트,view,FALSE,FALSE,"아파트,주거,단지"
p051,서초,서초힐스아파트,view,FALSE,FALSE,"아파트,주거,단지"
p052,이천,신금 이천땅,view,TRUE,FALSE,"토지,야외,부지"
p053,인덕원,장인어른 길정건축,view,FALSE,FALSE,"건축,사무실,시설"
p054,일산,강촌마을8단지우방아파트812동,view,FALSE,FALSE,"아파트,주거,단지"
p055,안양,효성인텔리안,view,FALSE,FALSE,"기업,빌딩,사무실"
p056,횡성,신원모터스 자동차스토리,activity,FALSE,FALSE,"자동차정비,수리,시설"
p057,과천,1page cafe,cafe,FALSE,FALSE,"카페,디저트,커피"
p058,양평,승환이네 유리온실,view,TRUE,FALSE,"온실,농업,시설"
p059,춘천,공간너머스터디카페,cafe,FALSE,FALSE,"스터디카페,학습,공간"
p060,안양,블루핸즈 시민대로현대서비스,activity,FALSE,FALSE,"자동차정비,수리,서비스"
p061,춘천,아름타운기숙사,view,FALSE,FALSE,"기숙사,주거,시설"
p062,과천,과천5KM 출발지 A,activity,TRUE,FALSE,"지하철출구,야외,포인트"
p063,인천,군봉묵은지김치찜,meal,FALSE,FALSE,"찌개,전골,한식"
p064,영종도,영종하늘도시12호근린공원,activity,TRUE,FALSE,"근린공원,야외,산책"
p065,영종도,조은전골칼국수,meal,FALSE,FALSE,"칼국수,만두,식당"
p066,영종도,지금이곳,cafe,FALSE,FALSE,"카페,디저트,커피"
p067,영종도,별바다 조개구이,meal,FALSE,FALSE,"조개요리,해산물,식당"
p068,영종도,조개원칙 구읍뱃터직영점,meal,FALSE,FALSE,"조개요리,해산물,식당"
p069,인천,형제들감자탕,meal,FALSE,FALSE,"감자탕,국물요리,식당"
p070,인천,계산동 수제돈까스,meal,FALSE,FALSE,"돈가스,수제,식당"
p071,송도,상상첨 송도트리플스트리트점,meal,FALSE,FALSE,"샤브샤브,국물요리,식당"
p072,시흥,더숲 소전미술관,cafe,FALSE,FALSE,"카페,미술관,문화공간"
p073,인천,은식당 학익점,meal,FALSE,FALSE,"돈가스,식당,외식"
p074,인천,비밀베이커리 구월점,cafe,FALSE,FALSE,"베이커리,디저트,빵집"
p075,송도,해찬솔공원,activity,TRUE,FALSE,"근린공원,야외,산책"
p076,청라,청라 해변공원 캠핑장,activity,TRUE,FALSE,"캠핑,야영장,야외"
p077,송도,나 그리고 너,meal,FALSE,FALSE,"스파게티,파스타,양식"
p078,송도,코즈믹버거 송도점,meal,FALSE,FALSE,"햄버거,패스트푸드,양식"
p079,인천,멜팅룸,meal,FALSE,FALSE,"양식,레스토랑,외식"
p080,인천,호랑이족발 인천논현점,meal,FALSE,FALSE,"족발,보쌈,고기요리"
p081,인천,삼송가든,meal,FALSE,FALSE,"육류,고기요리,식당"
p082,안양,소향,meal,FALSE,FALSE,"소고기구이,육류,식당"
p083,인천,짬뽕타임 신흥점,meal,FALSE,FALSE,"중식당,짬뽕,식당"
p084,부산,화미담,meal,FALSE,FALSE,"중식당,식당,외식"
p085,인천,돈&까,meal,FALSE,FALSE,"돈가스,식당,외식"
p086,수원,삼정옥,meal,FALSE,FALSE,"국밥,한식,식당"
p087,인천,차오팡,meal,FALSE,FALSE,"중식당,식당,외식"
p088,인천,언양닭칼국수 용현점,meal,FALSE,FALSE,"칼국수,만두,닭요리"
p089,인천,꽃게담은보리밥,meal,FALSE,FALSE,"보리밥,한식,게장"
p090,광주,153한방삼계탕,meal,FALSE,FALSE,"백숙,삼계탕,보양식"
p091,포항,밀릇베이커리,cafe,FALSE,FALSE,"베이커리,디저트,빵집"
p092,송도,슈헤뜨베이크샵,cafe,FALSE,FALSE,"베이커리,디저트,빵집"
p093,인천,차우마 인천논현점,meal,FALSE,FALSE,"중식당,식당,외식"
p094,송도,제이콥스 베이커리,cafe,FALSE,FALSE,"베이커리,디저트,빵집"
p095,송도,마농베이커리,cafe,FALSE,FALSE,"베이커리,디저트,빵집"
p096,인천,라피자일피노센트럴점,meal,FALSE,FALSE,"이탈리아음식,피자,양식"
p097,송도,건강밥상심마니 송도점,meal,FALSE,FALSE,"백숙,삼계탕,보양식"
p098,구미,가마솥김치찜,meal,FALSE,FALSE,"한식,김치찜,식당"
p099,송도,늘이비인후과의원,activity,FALSE,FALSE,"이비인후과,의료,병원"
p100,송도,송도에이스내과의원,activity,FALSE,FALSE,"내과,의료,병원"
p101,인천,시골길 인천점,meal,FALSE,FALSE,"낙지요리,해산물,식당"
p102,송도,이우철한방누룽지삼계탕 송도점,meal,FALSE,FALSE,"백숙,삼계탕,보양식"
p103,송도,한상차림 코다리명가 송도점,meal,FALSE,FALSE,"해물요리,코다리,생선요리"
p104,송도,우만당,meal,FALSE,FALSE,"양식,레스토랑,외식"
p105,송도,아띠오아나폴리핏제리아 송도점,meal,FALSE,FALSE,"이탈리아음식,화덕피자,양식"
p106,안산,베이커리율교P3120,cafe,FALSE,FALSE,"베이커리,디저트,빵집"
p107,송도,안스베이커리 송도점,cafe,FALSE,FALSE,"베이커리,디저트,유명빵집"
p108,송도,현대옥 송도신도시점,meal,FALSE,FALSE,"국밥,한식,식당"
p109,송도,미인계옛날통닭 송도호반써밋점,meal,FALSE,FALSE,"치킨,닭강정,야식"
p110,송도,금별맥주 송도8공구점,meal,FALSE,FALSE,"맥주,호프,술집"
p111,송도,연남물갈비 인천송도점,meal,FALSE,FALSE,"육류,고기요리,물갈비"
p112,송도,컴포즈커피 인천송도호반써밋점,cafe,FALSE,FALSE,"카페,커피,프랜차이즈"
p113,송도,솥고집 송도8공구점,meal,FALSE,FALSE,"육류,고기요리,식당"
p114,김포,미담순대국,meal,FALSE,FALSE,"순대,순댓국,한식"
p115,인천,화이트오페라,cafe,FALSE,FALSE,"케이크전문,디저트,베이커리"
p116,청라,고쉐프의 신선한 초밥 in청라,meal,FALSE,FALSE,"초밥,롤,일식"
p117,청라,괭이부리마을 청라점,meal,FALSE,FALSE,"한식,식당,외식"
p118,김포,구수옥설렁탕,meal,FALSE,FALSE,"곰탕,설렁탕,한식"
p119,의왕,맷돌로만 청량산점,meal,FALSE,FALSE,"두부요리,한식,식당"
p120,송도,갈로파커피로스터스 송도점,cafe,FALSE,FALSE,"카페,디저트,커피"
p121,인천,진천토종순대,meal,FALSE,FALSE,"순대,순댓국,한식"
p122,인천,동춘사골순대국 동춘본점,meal,FALSE,FALSE,"순대,순댓국,한식"
p123,인천,장심도 한국본점,meal,FALSE,FALSE,"장어,먹장어요리,보양식"
p124,인천,셀레브르,cafe,FALSE,FALSE,"카페,디저트,커피"
p125,인천,연수구 전통음식문화체험관,activity,FALSE,FALSE,"체험,홍보관,문화시설"
p126,서울,망원떡갈비,meal,FALSE,FALSE,"육류,고기요리,떡갈비"
p127,가평,베토벤하우스,cafe,FALSE,FALSE,"카페,디저트,음악"
p128,영종도,자연도소금빵,cafe,FALSE,FALSE,"베이커리,소금빵,디저트"
p129,서울,여의도 한강공원1주차장,activity,TRUE,FALSE,"주차장,야외,공원"
p130,용인,호텔이본 옳음,meal,FALSE,FALSE,"한식,파인다이닝,식당"
p131,원주,남도돼지촌,meal,FALSE,FALSE,"육류,돼지고기구이,식당"
p132,서울,도량,meal,FALSE,FALSE,"중식당,식당,외식"
p133,서울,계향각,meal,FALSE,FALSE,"중식당,식당,외식"
p134,서울,신세계백화점 본점 더 리저브,activity,FALSE,FALSE,"백화점,쇼핑,실내"
p135,인천,롯데백화점 인천점,activity,FALSE,FALSE,"백화점,쇼핑,실내"
p136,서울,반포 한강공원,activity,TRUE,FALSE,"시민공원,산책,야외"
p137,송도,삼성스토어 연수송도,activity,FALSE,FALSE,"종합가전,쇼핑,전자제품"
p138,서울,삼성청과,activity,FALSE,FALSE,"채소,시장,식자재"
p139,송도,컴인워시 송도점,activity,FALSE,FALSE,"세차,자동차,시설"
p140,인천,HD현대오일뱅크 오일네트워크 인천항훼미리,activity,FALSE,FALSE,"주유소,자동차,시설"
p141,인천,HD현대오일뱅크 선학현대주유소,activity,FALSE,FALSE,"주유소,자동차,시설"
p142,광명,이케아 광명점,activity,FALSE,FALSE,"가구,쇼핑,인테리어"
p143,서울,북악팔각정,view,TRUE,FALSE,"도시공원,테마공원,전망"
p144,부산,라띠에르,activity,FALSE,FALSE,"미용실,뷰티,시설"
p145,서울,영춘옥,meal,FALSE,FALSE,"곰탕,설렁탕,한식"
p146,관악,맛맛향,meal,FALSE,FALSE,"중식당,식당,외식"
p147,성남,꺼거,meal,FALSE,FALSE,"중식당,식당,외식"
p148,서울,효뜨,meal,FALSE,FALSE,"베트남음식,아시아음식,식당"
p149,대구,키보,meal,FALSE,FALSE,"이자카야,술집,일식"
p150,서울,올라아보 이수본점,meal,FALSE,FALSE,"멕시코음식,남미음식,식당"
p151,서울,파브리키친,meal,FALSE,FALSE,"이탈리아음식,양식,식당"
p152,수원,현선이네 용산본점,meal,FALSE,FALSE,"떡볶이,분식,식당"
p153,서울,카페폭포,cafe,FALSE,FALSE,"카페,디저트,경치"
p154,구로,홍두깨손칼국수,meal,FALSE,FALSE,"국수,칼국수,식당"
p155,서울,훈훈호떡,meal,FALSE,FALSE,"호떡,길거리음식,간식"
p156,서울,우이락 망원본점,meal,FALSE,FALSE,"한식,식당,외식"
p157,서울,어글리베이커리,cafe,FALSE,FALSE,"베이커리,디저트,빵집"
p158,서울,호카 롯데백화점 본점,activity,FALSE,FALSE,"스포츠용품,쇼핑,의류"
p159,서울,러너스클럽,activity,FALSE,FALSE,"달리기,마라톤,스포츠"
p160,남원,덕수정,meal,FALSE,FALSE,"한식,식당,외식"
p161,서울,춘선네,meal,FALSE,FALSE,"한식,식당,외식"
p162,춘천,가겐 by 최준호,meal,FALSE,FALSE,"일식당,다이닝,식당"
p163,서울,남영돈,meal,FALSE,FALSE,"돼지고기구이,육류,맛집"
p164,경주,금돼지식당,meal,FALSE,FALSE,"돼지고기구이,육류,맛집"
p165,서울,부베트,meal,FALSE,FALSE,"프랑스음식,양식,레스토랑"
p166,서울,빠넬로,meal,FALSE,FALSE,"이탈리아음식,양식,식당"
p167,수원,리알토,meal,FALSE,FALSE,"이탈리아음식,양식,식당"
p168,서울,에그앤플라워,meal,FALSE,FALSE,"스파게티,파스타,양식"
p169,서울,합정옥,meal,FALSE,FALSE,"곰탕,설렁탕,한식"
p170,광주,프로토콜 연희점,cafe,FALSE,FALSE,"카페,디저트,커피"
p171,속초,도화공영주차장,activity,TRUE,FALSE,"공영주차장,주차,야외"
p172,서울,프릳츠 도화점,cafe,FALSE,FALSE,"카페,디저트,커피"
p173,고양,아이덴티티커피랩,cafe,FALSE,FALSE,"카페,디저트,커피"
p174,서울,도덕과 규범,cafe,FALSE,FALSE,"카페,디저트,커피"
p175,서울,쿤쏨차이,meal,FALSE,FALSE,"태국음식,아시아음식,식당"
p176,고양,청어람 망원본점,meal,FALSE,FALSE,"곱창,막창,양"
p177,여수,자반식당,meal,FALSE,FALSE,"한식,식당,외식"
p178,평창,봉평재래시장,activity,TRUE,FALSE,"시장,전통시장,쇼핑"
p179,평창,딥버거,meal,FALSE,FALSE,"햄버거,패스트푸드,식당"
p180,춘천,대관령감자빵,cafe,FALSE,FALSE,"브런치카페,베이커리,디저트"
p181,평창,오대산 산촌,meal,FALSE,FALSE,"한식,식당,향토음식"
p182,평창,황태회관,meal,FALSE,FALSE,"해물요리,생선요리,식당"
p183,평창,대관령양떼식당,meal,FALSE,FALSE,"육류,고기요리,식당"
p184,평창,나폴리피자 대관령본점,meal,FALSE,FALSE,"피자,양식,식당"
p185,속초,진부 풍천숯불민물장어촌,meal,FALSE,FALSE,"장어요리,먹장어,보양식"
p186,평창,대관령자연애,meal,FALSE,FALSE,"한식,식당,외식"
p187,평창,황태통나무집식당,meal,FALSE,FALSE,"한식,식당,외식"
p188,평창,이촌쉼터,meal,FALSE,FALSE,"한식,식당,외식"
p189,평창,봉평짚불이네,meal,FALSE,FALSE,"육류,고기요리,식당"
p190,평창,꼬로베이,meal,FALSE,FALSE,"양식,식당,외식"
p191,평창,휘닉스 파크 몽블랑,cafe,FALSE,FALSE,"카페,디저트,경치"
p192,정선,회동집,meal,FALSE,FALSE,"한식,식당,향토음식"
p193,평창,휘닉스평창호텔,view,FALSE,FALSE,"호텔,숙박,휴양"
p194,평창,삼교리동치미막국수 대관령점,meal,FALSE,FALSE,"막국수,면요리,식당"
p195,정선,하이원리조트 알파인코스터,activity,TRUE,FALSE,"레일바이크,액티비티,놀이"
p196,평창,발왕산 관광케이블카,activity,TRUE,FALSE,"케이블카,관광,전망"
p197,부산,스시바시쿠,meal,FALSE,FALSE,"일식당,초밥,식당"
p198,경주,황남칼국수 경주본점,meal,FALSE,FALSE,"칼국수,만두,식당"
p199,안동,월영교,view,TRUE,FALSE,"지역명소,야경,관광"
p200,안동,월영당,cafe,FALSE,FALSE,"카페,디저트,한옥"
p201,안동,라라룬,cafe,FALSE,FALSE,"카페,디저트,커피"
p202,영덕,은정횟집 본점,meal,FALSE,FALSE,"복어요리,해산물,식당"
p203,경주,도미,meal,FALSE,FALSE,"이탈리아음식,양식,식당"
p204,경주,월정제과,cafe,FALSE,FALSE,"제과,제빵,베이커리"
p205,경주,경주신라반상 수리뫼,meal,FALSE,FALSE,"한정식,한식,식당"
p206,경주,가마솥족발,meal,FALSE,FALSE,"족발,보쌈,고기요리"
p207,경주,이재원과자공방,cafe,FALSE,FALSE,"케이크전문,디저트,베이커리"
p208,경주,경주풍력발전,view,TRUE,FALSE,"기업,시설,전망"
p209,경주,라한셀렉트 경주,view,FALSE,FALSE,"호텔,숙박,휴양"
p210,의령,알천장어,meal,FALSE,FALSE,"장어요리,보양식,식당"
p211,경주,동천부경숯불갈비,meal,FALSE,FALSE,"육류,고기요리,갈비"
p212,경주,소사이어티나귀,meal,FALSE,FALSE,"양식,식당,외식"
p213,의왕,덕평자연휴게소(강릉방향),activity,TRUE,FALSE,"고속도로휴게소,휴게시설,휴식"
p214,평택,개화식당,meal,FALSE,FALSE,"중식당,식당,외식"
p215,의성,만리궁,meal,FALSE,FALSE,"중식당,식당,외식"
p216,천안,짱또뽀끼야 신방점,meal,FALSE,FALSE,"종합분식,분식,식당"
p217,경주,첨성대,view,TRUE,FALSE,"문화,유적,명소"
p218,경주,동궁과 월지,view,TRUE,FALSE,"호수,연못,야경"
p219,경주,경주 버드파크,activity,FALSE,FALSE,"동물원,실내,관람"
p220,경주,하늘정원주차장입구,activity,TRUE,FALSE,"방면정보,주차,야외"
p221,김포,포지티브 스페이스566,cafe,FALSE,FALSE,"카페,대형카페,디저트"
p222,부천,원미산진달래축제,activity,TRUE,FALSE,"꽃축제,야외,명소"
p223,제주,선운정사,view,TRUE,FALSE,"절,사찰,명소"
p224,여주,여주프리미엄아울렛,activity,TRUE,FALSE,"아울렛,쇼핑,야외"
p225,대전,방동가든,meal,FALSE,FALSE,"돼지고기구이,육류,식당"
p226,보령,커피인터뷰,cafe,FALSE,FALSE,"카페,디저트,커피"
p227,대전,델빠네 오월드,cafe,FALSE,FALSE,"브런치,카페,식당"
p228,여수,구백식당,meal,FALSE,FALSE,"생선회,해산물,식당"
p229,여수,순이네밥상,meal,FALSE,FALSE,"한식,식당,외식"
p230,여수,아르떼뮤지엄 여수,activity,FALSE,FALSE,"미술관,전시,실내"
p231,여수,아쿠아플라넷 여수,activity,FALSE,FALSE,"아쿠아리움,실내,수족관"
p232,여수,깔라까따 리조트,view,FALSE,FALSE,"콘도,리조트,숙박"
p233,충주,새풍년식당,meal,FALSE,FALSE,"한식,식당,외식"
p234,양양,녹원갈비,meal,FALSE,FALSE,"육류,고기요리,갈비"
p235,여수,여수수산시장,activity,TRUE,FALSE,"시장,쇼핑,수산물"
p236,여수,녹테마레,activity,FALSE,FALSE,"미디어아트테마파크,실내,전시"
p237,시흥,계수가든,meal,FALSE,FALSE,"육류,고기요리,식당"
p238,서울,메이필드호텔 낙원,meal,FALSE,FALSE,"육류,고기요리,호텔다이닝"
p239,화성,린린,meal,FALSE,FALSE,"중식당,식당,외식"
p240,대전,적덕식당,meal,FALSE,FALSE,"한식,식당,두부두루치기"
p241,인천,모녀떡볶이,meal,FALSE,FALSE,"떡볶이,분식,식당"
p242,제주,한림민속5일시장,activity,TRUE,FALSE,"시장,전통시장,쇼핑"
p243,제주,김녕오라이,meal,FALSE,FALSE,"생선회,해산물,식당"
p244,제주,제주신화월드 랜딩 컨벤션 센터,activity,FALSE,FALSE,"컨벤션센터,시설,실내"
p245,제주,해물오빠 제주 모슬포 본점,meal,FALSE,FALSE,"조개요리,해산물,식당"
p246,제주,미영이네,meal,FALSE,FALSE,"생선회,해산물,식당"
p247,제주,광복이네,meal,FALSE,FALSE,"한식,식당,외식"
p248,제주,넉둥베기,meal,FALSE,FALSE,"한식,식당,외식"
p249,제주,화성식당,meal,FALSE,FALSE,"한식,식당,외식"
p250,제주,집의기록상점,cafe,FALSE,FALSE,"베이커리,디저트,소품샵"
p251,제주,빵귿,cafe,FALSE,FALSE,"베이커리,빵집,디저트"
p252,제주,이끼숲소길,cafe,FALSE,FALSE,"카페,자연,디저트"
p253,제주,풍양양꼬치,meal,FALSE,FALSE,"양꼬치,육류,식당"
p254,제주,치저스,meal,FALSE,FALSE,"양식,식당,외식"
p255,제주,아니따 파스타 한림금악본점,meal,FALSE,FALSE,"이탈리아음식,파스타,양식"
p256,제주,천일만두,meal,FALSE,FALSE,"딤섬,중식만두,식당"
p257,제주,이호테우해수욕장,activity,TRUE,FALSE,"해수욕장,해변,바다"
p258,제주,네거리식당,meal,FALSE,FALSE,"해물요리,생선요리,식당"
p259,제주,바다술상,meal,FALSE,FALSE,"생선회,해산물,식당"
p260,제주,만복반미 노형쌀국수,meal,FALSE,FALSE,"베트남음식,쌀국수,식당"
p261,제주,라바르,cafe,FALSE,FALSE,"카페,디저트,커피"
p262,제주,더플래닛,activity,FALSE,FALSE,"여행사,관광,시설"
p263,제주,이니스프리 제주하우스,activity,FALSE,FALSE,"화장품,체험,쇼핑"
p264,제주,친밀 제주,meal,FALSE,FALSE,"양식,식당,외식"
p265,제주,미스칠 제주공항본점,meal,FALSE,FALSE,"한식,식당,외식"
p266,제주,온더스톤 브런치카페 제주성산점,cafe,FALSE,FALSE,"브런치,카페,디저트"
p267,제주,구좌읍 종달리 카페 보롬창고,cafe,FALSE,FALSE,"카페,디저트,커피"
p268,제주,톰톰카레,meal,FALSE,FALSE,"아시아음식,카레,식당"
p269,제주,달이뜨는식탁 구좌 월정리 본점,meal,FALSE,FALSE,"양식,식당,외식"
p270,제주,칸스 다이닝 제주,meal,FALSE,FALSE,"양식,레스토랑,다이닝"
